"Freq [GHz]","Phi [deg]","Theta [deg]","mag(rEL3X) [V]","mag(rEL3Y) [V]"
83,0,9,41.7781846672082,0.00235712241906769
83,0,10,40.2534359924545,0.00216868372208359
83,0,11,38.6347971412589,0.0020328196943745
83,0,12,36.9397879514718,0.00196884825626773
83,0,13,35.1865297046772,0.0019890410095446
83,0,14,33.3935156404,0.00209309110984576
83,0,15,31.5793820258146,0.00226879839647486
83,0,16,29.7626809617511,0.00249816908081388
83,0,17,27.9616543674226,0.0027633254985362
83,0,18,26.1940063200102,0.00304929753580027
83,0,19,24.4766681765937,0.00334443024289471
83,0,20,22.8255479266383,0.00363984898442747
83,0,21,21.2552526560571,0.00392878337621681
83,0,22,19.7787721190886,0.00420601351095009
83,0,23,18.4071142917632,0.00446747216600794
83,0,24,17.1488931628368,0.00470997170942538
83,0,25,16.0098873688285,0.00493101803260915
83,0,26,14.9926156293863,0.00512868213217576
83,0,27,14.0960058426659,0.00530150915119641
83,0,28,13.3152563602303,0.00544845166236992
83,0,29,12.6419831547656,0.00556881869768911
83,0,30,12.0647035250887,0.00566223509120887
83,0,31,11.5696315783844,0.00572860765583733
83,0,32,11.1416800993874,0.00576809595884014
83,0,33,10.765512683138,0.00578108625407377
83,0,34,10.4264901294632,0.00576816763888183
83,0,35,10.1114003085975,0.00573010983330342
83,0,36,9.80892563121081,0.00566784219458068
83,0,37,9.50986004044467,0.00558243372234382
83,0,38,9.20712319586211,0.00547507390490431
83,0,39,8.89563211780176,0.00534705432170147
83,0,40,8.57208686935548,0.00519975096162623
83,0,41,8.23471523062992,0.00503460724817338
83,0,42,7.88300800821178,0.00485311778458151
83,0,43,7.51746498483416,0.00465681284773286
83,0,44,7.1393627165199,0.00444724367043244
83,0,45,6.75054936521523,0.00422596855879703
83,0,46,6.35326795805439,0.00399453989528397
83,0,47,5.95000725300695,0.00375449207982725
83,0,48,5.5433782243168,0.00350733046137304
83,0,49,5.13601366127276,0.00325452131187126
83,0,50,4.73048823089507,0.00299748289558543
83,0,51,4.329256417978,0.00273757769255231
83,0,52,3.93460592178439,0.00247610585208751
83,0,53,3.54862429936571,0.00221429999595976
83,0,54,3.17317687107582,0.00195332159457388
83,0,55,2.80989413283497,0.00169425939046553
